query,response
"What are your shipping options?","We offer free shipping on orders above ₹500 and standard delivery within 5-7 business days."
"How do I reset my password?","Click on 'Forgot Password' at the login page and follow the instructions sent to your email."
"Can I track my order?","Yes, you can track your order using the tracking link provided in your confirmation email."
"What payment methods do you accept?","We accept credit/debit cards, UPI, net banking, and digital wallets."
"Do you offer student discounts?","Yes, students can avail a 10% discount by verifying their student ID."
"How do I contact customer support?","You can reach us via email at support@example.com or call our helpline at +91-9876543210."
"Can I cancel my order?","Orders can be canceled within 24 hours of placing them from your account dashboard."
"Do you provide international shipping?","Yes, we ship internationally with additional charges depending on the destination."
"How do I enroll in a course?","Go to the Courses section, select your desired course, and click 'Enroll Now'."
"Do you provide certificates for courses?","Yes, upon successful completion, you will receive a digital certificate."
